SK_ID_CURR,SK_ID_BUREAU,CREDIT_ACTIVE,CREDIT_CURRENCY,DAYS_CREDIT,CREDIT_DAY_OVERDUE,DAYS_CREDIT_ENDDATE,DAYS_ENDDATE_FACT,AMT_CREDIT_MAX_OVERDUE,CNT_CREDIT_PROLONG,AMT_CREDIT_SUM,AMT_CREDIT_SUM_DEBT,AMT_CREDIT_SUM_LIMIT,AMT_CREDIT_SUM_OVERDUE,CREDIT_TYPE,DAYS_CREDIT_UPDATE,AMT_ANNUITY
435112,5714514,Closed,currency 1,-1181,0,-875,-872,,0,44419.5,0,0,0,Consumer credit,-872,
435112,5714516,Closed,currency 1,-1475,0,-1293,-1322,,0,21690,0,,0,Consumer credit,-1322,
435112,5714517,Closed,currency 1,-1411,0,-861,-861,,0,85293,0,,0,Consumer credit,-855,
435112,5714518,Active,currency 1,-1483,0,,,,0,200250,0,,0,Credit card,-848,
435112,5714519,Closed,currency 1,-1589,0,-1344,-1292,3980.52,0,100129.5,0,0,0,Consumer credit,-736,
435112,5714520,Closed,currency 1,-829,0,-508,-508,0,0,159386.085,0,0,0,Consumer credit,-508,
435112,5714521,Closed,currency 1,-739,0,-525,-525,0,0,48645,0,0,0,Consumer credit,-519,
435112,5714522,Active,currency 1,-508,0,1318,,0,0,1058823.54,858768.57,0,0,Consumer credit,-7,
435112,5714523,Active,currency 1,-416,0,680,,0,0,256500,183528,0,0,Consumer credit,-43,
452585,5714524,Closed,currency 1,-2642,0,-2307,-2332,1800,0,15921,0,0,0,Consumer credit,-2306,
452585,5714525,Active,currency 1,-2538,0,-1427,,0,0,45000,0,0,0,Credit card,-682,
452585,5714527,Active,currency 1,-42,0,-26,,,0,45000,54000,0,0,Consumer credit,-31,
452585,5714528,Closed,currency 1,-2898,0,-2722,-2344,,0,11340,,,0,Consumer credit,-2344,
389599,5714529,Closed,currency 1,-672,0,10285,-531,,0,135000,0,0,0,Credit card,-429,
389599,5714530,Closed,currency 1,-1304,0,1253,-1287,,0,225000,0,0,0,Consumer credit,-429,
389599,5714531,Closed,currency 1,-1253,0,-887,-887,,0,43105.5,0,0,0,Consumer credit,-687,
389599,5714532,Closed,currency 1,-1130,0,331,-858,,0,450000,0,0,0,Consumer credit,-847,
389599,5714533,Active,currency 1,-831,0,277,,,0,270000,274225.5,0,0,Credit card,-10,
389599,5714534,Active,currency 1,-329,0,1497,,,0,589500,521478,0,0,Consumer credit,-8,
